id,content,location_traffic_convenience,location_distance_from_business_district,location_easy_to_find,service_wait_time,service_waiters_attitude,service_parking_convenience,service_serving_speed,price_level,price_cost_effective,price_discount,environment_decoration,environment_noise,environment_space,environment_cleaness,dish_portion,dish_taste,dish_look,dish_recommendation,others_overall_experience,others_willing_to_consume_again
0,"['吼', '吼', '吼', '萌', '死', '人', '棒', '棒', '糖', '中', '大', '众', '点', '评', '霸', '王', '餐', '太', '爱', '直', '好', '奇', '棒', '棒', '糖', '东', '西', '大', '众', '点', '评', '土', '老', '见', '识', '机', '会', '看', '介', '绍', '棒', '棒', '糖', '德', '国', '糖', '做', '不', '会', '很', '甜', '中', '间', '片', '糯', '米', '食', '真', '太', '高', '端', '大', '气', '上', '档', '次', '还', '买', '蝴', '蝶', '结', '扎', '口', '送', '人', '买', '礼', '盒', '先', '卖', '家', '电', '话', '加', '微', '信', '卖', '家', '传', '片', '天', '卖', '家', '告', '诉', '取', '货', '去', '大', '官', '屯', '取', '然', '卖', '家', '面', '都', '没', '见', '还', '谢', '谢', '卖', '家', '送', '爱', '东', '西', '太', '喜', '欢', '舍', '吃']",-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,1,-2,1,-2
1,"['三', '次', '参', '加', '大', '众', '点', '评', '网', '霸', '王', '餐', '活', '动', '家', '店', '人', '整', '体', '感', '觉', '般', '首', '先', '环', '境', '只', '算', '中', '次', '霸', '王', '餐', '提', '供', '菜', '品', '不', '很', '然', '商', '家', '避', '免', '参', '加', '霸', '王', '餐', '吃', '不', '饱', '现', '象', '桌', '都', '提', '供', '少', '六', '份', '主', '食', '桌', '都', '提', '供', '两', '份', '年', '糕', '次', '吃', '火', '锅', '会', '桌', '上', '主', '食', '整', '体', '说', '家', '火', '锅', '店', '没', '什', '特', '特', '色', '不', '份', '菜', '品', '分', '量', '还', '足', '点', '肯', '定', '价', '格', '没', '看', '菜', '单', '不', '解', '不', '看', '大', '众', '家', '店', '团', '购', '代', '金', '券', '相', '折', '应', '价', '位', '不', '会', '很', '高', '最', '后', '还', '感', '谢', '商', '家', '提', '供', '霸', '王', '餐', '祝', '生', '意', '兴', '隆', '财', '源', '广', '进']",-2,-2,-2,-2,-2,-2,-2,0,-2,1,0,0,0,0,1,-2,-2,-2,1,-2
2,"['人', '行', '点', '小', '吃', '榴', '莲', '酥', '榴', '莲', '味', '道', '不', '足', '松', '软', '奶', '味', '浓', '虾', '饺', '好', '吃', '两', '颗', '大', '虾', '仁', '皮', '蛋', '粥', '皮', '蛋', '般', '挺', '稠', '奶', '黄', '包', '很', '好', '吃', '真', '蛋', '黄', '奶', '真', '流', '沙', '叉', '烧', '包', '面', '香', '鲜', '虾', '烧', '卖', '好', '吃', '外', '面', '黄', '色', '皮', '看', '人', '特', '食', '欲', '云', '吞', '面', '云', '吞', '分', '量', '足', '汤', '头', '不', '很', '好', '喝', '云', '吞', '馅', '儿', '不', '知', '感', '觉', '不', '很', '新', '鲜', '鲍', '汁', '腐', '皮', '卷', '没', '吃', '味', '道', '倒', '不', '错', '排', '骨', '味', '道', '不', '错', '不', '算', '很', '腻', '油', '确', '实', '微', '鲜', '虾', '锅', '贴', '确', '实', '今', '天', '吃', '很', '虾', '很', '酥', '脆', '里', '头', '虾', '很', '好', '吃', '刚', '好', '优', '惠', '券', '人', '花', '不', '优', '惠', '券', '只', '层', '层', '不', '原', '价', '大', '概', '人', '均', '服', '务', '般', '上', '菜', '速', '度', '倒', '很', '快', '人', '挺', '坐', '沙', '发', '上', '感', '觉', '很', '舒', '服']",-2,-2,-2,-2,0,-2,1,0,-2,1,-2,-2,1,-2,0,1,-2,-2,0,-2
3,"['前', '评', '价', '莫', '名', '妙', '删', '果', '断', '继', '续', '差', '评', '换', '菜', '单', '价', '格', '更', '低', '开', '始', '砸', '牌', '子', '套', '餐', '还', '点', '两', '份', '套', '餐', '上', '菜', '序', '沙', '拉', '汤', '餐', '前', '面', '包', '餐', '中', '饮', '料', '份', '汤', '甜', '点', '牛', '排', '火', '大', '上', '菜', '上', '成', '样', '见', '先', '吃', '冰', '激', '凌', '再', '吃', '牛', '排', '两', '份', '牛', '排', '七', '分', '上', '份', '全', '熟', '份', '不', '五', '分', '熟', '厨', '师', '里', '请', '大', '街', '上', '便', '拉', '人', '都', '烤', '好', '套', '餐', '价', '格', '没', '变', '什', '前', '差', '距', '大', '砸', '牌', '子', '火', '大', '负', '分', '码', '五', '角', '场', '家', '不', '会', '再', '去', '再', '见']",-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1
4,"['出', '意', '料', '惊', '艳', '椰', '子', '鸡', '清', '热', '降', '火', '美', '容', '养', '颜', '大', '大', '满', '足', '爱', '吃', '火', '锅', '怕', '上', '火', '星', '人', '椰', '子', '冻', '帅', '帅', '老', '板', '原', '创', '不', '加', '吉', '利', '丁', '片', '专', '业', '机', '器', '发', '酵', '只', '加', '淡', '奶', '油', '椰', '汁', '还', '天', '限', '量', '鸡', '肉', '很', '嫩', '不', '吃', '饲', '料', '嫩', '鸡', '蟹', '柳', '太', '好', '吃', '日', '进', '口', '刺', '身', '直', '接', '蘸', '酱', '油', '吃', '锅', '里', '煮', '还', '好', '吃', '见', '食', '材', '新', '鲜', '再', '不', '会', '想', '吃', '普', '通', '火', '锅', '店', '冰', '镇', '蟹', '肉', '棒', '蔬', '菜', '很', '新', '鲜', '老', '板', '说', '大', '兴', '蔬', '菜', '园', '煲', '仔', '饭', '高', '般', '水', '平', '老', '板', '说', '遗', '憾', '商', '场', '只', '电', '炉', '不', '传', '统', '做', '法', '最', '后', '安', '利', '下', '老', '板', '原', '西', '餐', '厨', '师', '看', '出', '食', '物', '求', '人', '万', '赞']",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,-2
5,"['烤', '鸭', '使', '蘸', '酱', '很', '道', '觉', '烤', '鸭', '好', '不', '好', '吃', '很', '大', '程', '度', '上', '都', '取', '决', '酱', '料', '否', '正', '宗', '人', '感', '觉', '家', '蘸', '酱', '还', '很', '正', '宗', '看', '大', '厅', 'L', 'E', 'D', '显', '示', '器', '上', '面', '宣', '传', '使', '北', '京', '老', '字', '号', '六', '必', '居', '正', '宗', '酱', '料', '不', '知', '道', '否', '属', '实', '元', '份', '小', '蝶', '人', '果', '正', '常', '使', '话', '差', '不', '够', '好', '口', '说', '点', '不', '够', '后', '面', '加', '份', '配', '菜', '中', '面', '饼', '点', '不', '够', '吃', '后', '面', '面', '饼', '吃', '完', '烤', '鸭', '还', '剩', '下', '很', '直', '接', '蘸', '酱', '吃', '不', '味', '道', '很', '好', '吃', '只', '烤', '鸭', '分', '量', '还', '很', '估', '计', '足', '够', '两', '三', '人', '吃', '然', '后', '再', '陪', '两', '小', '炒', '时', '蔬', '顿', '饭', '算', '稳', '妥', '服', '务', '很', '好', '不', '去', '次', '好', '店', '堂', '里', '面', '顾', '客', '不', '很', '大', '大', '厅', '里', '面', '三', '五', '桌', '客', '人', '点', '不', '很', '相', '称']",-2,-2,-2,-2,1,-2,-2,0,-2,-2,-2,-2,1,-2,0,1,-2,-2,1,-2
6,"['好', '友', '圈', '很', '红', '原', '很', '诡', '异', '竟', '然', '基', '都', '外', '朋', '友', '转', '发', '不', '远', '千', '里', '跑', '厦', '门', '买', '回', '去', '吃', '吃', '完', '念', '念', '不', '忘', '都', '念', '心', '里', '长', '草', '懒', '没', '去', '搜', '竟', '然', '不', '知', '道', '家', '店', '近', '分', '分', '钟', '去', '吃', '噢', '太', '贵', '还', '夸', '张', '位', '置', '果', '不', '想', '混', '迹', '附', '近', '人', '应', '会', '觉', '很', '难', '找', '躲', '角', '滨', '路', '禾', '祥', '西', '交', '叉', '路', '头', '犄', '角', '旮', '旯', '里', '难', '找', '程', '度', '级', '棒', '饼', '店', '拼', '角', '落', '藏', '好', '好', '吃', '果', '然', '老', '厦', '门', '方', '般', '角', '滨', '路', '禾', '祥', '西', '十', '字', '路', '口', '附', '近', '消', '防', '大', '队', '旁', '条', '小', '路', '走', '进', '去', '没', '久', '看', '禾', '祥', '苑', '小', '简', '单', '左', '手', '禾', '祥', '苑', '楼', '下', '心', '素', '食', '府', '旁', '开', '车', '话', '建', '议', '角', '滨', '路', '银', '行', '家', '园', '条', '小', '路', '开', '进', '直', '直', '滴', '开', '行', '车', '前', '方', '小', '简', '单', '觉', '还', '说', '不', '谱', '导', '航', '家', '店', '面', '很', '小', '应', '很', '少', '人', '里', '吃', '般', '都', '带', '走', '大', '概', '只', '两', '张', '桌', '子', '唯', '次', '看', '人', '坐', '里', '吃', '东', '西', '操', '作', '间', '里', '面', '整', '店', '铺', '股', '甜', '甜', '味', '道', '段', '时', '间', '闻', '呆', '久', '应', '会', '腻', '头', '晕', '蛋', '糕', '都', '好', '喜', '欢', '都', '好', '漂', '亮', '好', '贵', '头', '小', '小', '三', '两', '口', '三', '四', '十', '块', '钱', '没', '想', '想', '只', '偶', '尔', '聚', '会', '时', '买', '买', '推', '荐', '性', '价', '高', '家', '卷', '卷', '里', '面', '奶', '油', '都', '样', '甜', '甜', '不', '腻', '奶', '香', '味', '非', '常', '喜', '欢', '口', '味', '不', '都', '外', '面', '蛋', '糕', '根', '口', '味', '选', '择', '最', '喜', '欢', '长', '颈', '鹿', '抹', '茶', '条', '厘', '米', '元', '左', '右', '感', '觉', '不', '会', '特', '贵', '小', '蛋', '糕', '统', '统', '都', '好', '吃', '缺', '点', '贵', '还', '好', '想', '集', '齐', '口', '味', '慢', '慢']",-2,-2,-1,-2,-2,-2,-2,-1,1,-2,-2,-2,-1,-2,-1,1,1,1,1,-2
7,"['中', '午', '饭', '点', '人', '需', '排', '队', '点', '左', '右', '去', '吃', '刚', '好', '团', '购', '不', '排', '队', '平', '安', '夜', '店', '员', '说', '都', '不', '样', '团', '购', '说', '不', '点', '混', '乱', '店', '里', '日', '店', '员', '然', '不', '懂', '中', '文', '很', '热', '情', '确', '实', '进', '店', '股', '臭', '臭', '味', '道', '久', '习', '惯', '店', '里', '桌', '子', '前', '很', '图', '文', '教', '使', '桌', '子', '上', '酱', '料', '很', '详', '细', '很', '爱', '调', '口', '儿', '两', '人', '团', '两', '套', '餐', '还', '份', '炸', '鸡', '吃', '很', '饱', '浓', '厚', '豚', '骨', '拉', '面', '加', '糖', '心', '蛋', '海', '苔', '豆', '芽', '时', '没', '笋', '遗', '憾', '汤', '头', '非', '常', '浓', '郁', '单', '喝', '还', '点', '臭', '臭', '加', '店', '里', '拉', '面', '酱', '黑', '胡', '椒', '芝', '麻', '好', '很', '里', '糖', '心', '蛋', '特', '赞', '博', '黑', '拉', '面', '非', '常', '推', '荐', '没', '异', '味', '儿', '没', '很', '浓', '蒜', '味', '恰', '好', '处', '非', '常', '好', '吃', '炸', '鸡', '块', '刚', '炸', '出', '特', '酥', '嫩', '不', '沾', '东', '西', '很', '味', '儿', '量', '点', '小', '团', '购', '很', '值', '后', '还', '会']",-2,-2,-2,0,1,-2,-2,-2,1,0,-2,-2,-2,-1,-1,0,-2,1,1,1
8,"['朋', '友', '相', '约', '号', '看', '港', '囧', '首', '映', '天', '排', '片', '率', '超', '高', '提', '前', '订', '好', '票', '选', '文', '投', '国', '际', '影', '城', '看', '电', '影', '醉', '下', '班', '电', '视', '塔', '开', '元', '门', '朋', '友', '店', '关', '门', '去', '看', '电', '影', '刚', '好', '都', '吃', '饭', '太', '奥', '广', '场', '停', '车', '出', '去', '找', '吃', '三', '楼', '看', '鱼', '悦', '时', '光', '家', '新', '开', '店', '感', '觉', '应', '都', '还', '不', '错', '人', '不', '环', '境', '特', '哥', '特', '式', '工', '厂', '风', '格', '现', '都', '样', '吃', '好', '不', '好', '吃', '先', '不', '说', '环', '境', '特', '美', '人', '感', '觉', '心', '情', '不', '错', '水', '族', '缸', '养', '金', '鱼', '都', '特', '漂', '亮', '点', '单', '时', '候', '活', '鱼', '选', '好', '现', '做', '点', '梭', '鱼', '斤', '还', '点', '土', '豆', '泥', '风', '味', '腐', '竹', '吃', '还', '不', '错', '烤', '鱼', '上', '时', '候', '感', '觉', '应', '不', '错', '闻', '都', '香', '烤', '鱼', '香', '辣', '味', '朋', '友', '说', '味', '道', '点', '咸', '口', '味', '重', '感', '觉', '次', '吃', '鱼', '前', '吃', '最', '好', '吃', '家', '鱼', '外', '酥', '里', '嫩', '特', '好', '吃', '还', '说', '吃', '完', '烤', '鱼', '点', '菜', '涮', '鱼', '肉', '吃', '饱', '没', '点', '菜', '鱼', '酷', '风', '格', '类', '型', '烤', '鱼', '下', '次', '机', '会', '还', '家', '吃', '鱼']",-2,1,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,1,-2,-2,1,1
9,"['首', '先', '感', '谢', '大', '众', '点', '评', '再', '次', '抽', '中', '免', '费', '品', '尝', '火', '锅', '时', '感', '谢', '古', '蜀', '雒', '味', '三', '星', '堆', '主', '题', '火', '锅', '商', '家', '提', '供', '平', '台', '认', '识', '更', '朋', '友', '商', '家', '位', '置', '好', '找', '广', '汉', '金', '雁', '湖', '公', '园', '广', '汉', '人', '称', '水', '上', '公', '园', '大', '门', '左', '手', '二', '楼', '上', '果', '城', '区', '话', '绕', '下', '金', '雁', '桥', '维', '修', '商', '家', '环', '境', '很', '好', '紧', '邻', '公', '园', '空', '气', '很', '好', '装', '修', '很', '棒', '很', '三', '星', '堆', '元', '素', '风', '格', '雅', '间', '还', '情', '侣', '座', '很', '好', '家', '选', '式', '火', '锅', '菜', '品', '不', '颜', '色', '盘', '子', '装', '盛', '分', '成', '不', '价', '格', '食', '客', '行', '领', '取', '菜', '品', '很', '新', '鲜', '只', '份', '量', '不', '很', '足', '调', '料', '油', '料', '都', '集', '中', '放', '处', '食', '客', '根', '口', '味', '行', '料', '理', '称', '火', '锅', '次', '性', '锅', '底', '食', '客', '还', '包', '带', '走', '点', '很', '赞', '只', '火', '锅', '煮', '最', '后', '点', '糊', '锅', '吃', '身', '上', '会', '很', '浓', '火', '锅', '味', '点', '希', '商', '家', '改', '进', '帅', '哥', '服', '务', '态', '度', '很', '好', '总', '商', '家', '还', '下', '次', '还', '会', '吃']",-2,-2,1,-2,1,-2,-2,-2,-2,1,1,1,1,1,0,-2,1,-2,0,1
